year,month,date,hour,minute,second,hex,flight,t,alt_baro,alt_geom,gs,track,geom_rate,squawk,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,lat,lon,nic,rc,track,nic_baro,nac_p,nac_v,sil,sil_type
2025,04,01,00,02,45,899046,CAL601  ,B738,1725,1950,169.9,47.39,1184,6264,1019.2,3008,3008,51.33,25.109067,121.26227,8,186,47.39,1,10,2,3,perhour
2025,04,01,00,02,50,899046,CAL601  ,B738,1825,2075,177.0,47.75,1184,6264,1019.2,3008,3008,51.33,25.111767,121.265535,8,186,47.75,1,10,2,3,perhour
2025,04,01,00,02,55,899046,CAL601  ,B738,1925,2150,184.1,48.08,1120,6264,1019.2,18592,18000,51.33,25.11442,121.268748,8,186,48.08,1,10,2,3,perhour
2025,04,01,00,03,00,899046,CAL601  ,B738,2050,2300,188.5,48.87,1120,6264,1019.2,20000,18000,51.33,25.117865,121.273049,8,186,48.87,1,10,2,3,perhour
2025,04,01,00,03,05,899046,CAL601  ,B738,2100,2325,193.1,50.04,1472,6264,1019.2,20000,20000,51.33,25.11882,121.274261,8,186,50.04,1,10,2,3,perhour
2025,04,01,00,03,10,899046,CAL601  ,B738,2325,2550,198.1,50.12,1824,6264,1019.2,20000,20000,25.31,25.123498,121.280408,8,186,50.12,1,10,2,3,perhour
2025,04,01,00,03,15,899046,CAL601  ,B738,2500,2725,198.1,50.12,1824,6264,1019.2,20000,20000,284.06,25.126198,121.28388,8,186,50.12,1,10,2,3,perhour
2025,04,01,00,03,20,899046,CAL601  ,B738,2700,2900,203.3,41.61,1824,6264,1019.2,20000,20000,284.06,25.130108,121.288182,8,186,41.61,1,10,2,3,perhour
2025,04,01,00,03,25,899046,CAL601  ,B738,2875,3125,207.3,31.39,2048,6264,1019.2,20000,20000,267.19,25.133698,121.290944,8,186,31.39,1,10,2,3,perhour
2025,04,01,00,15,05,8990a1,MDA1857 ,B738,7400,7700,278.3,190.14,2528,2604,1019.2,16000,16000,198.98,24.198645,120.540438,8,186,190.14,1,10,2,3,perhour
2025,04,01,00,15,10,8990a1,MDA1857 ,B738,7650,7950,280.3,190.07,2528,2604,1019.2,16000,16000,198.98,24.191299,120.538991,8,186,190.07,1,10,2,3,perhour
2025,04,01,00,15,15,8990a1,MDA1857 ,B738,7825,8150,282.1,189.8,2528,2604,1019.2,16000,16000,201.09,24.186264,120.538025,8,186,189.8,1,10,2,3,perhour
2025,04,01,00,15,20,8990a1,MDA1857 ,B738,8100,8450,282.9,189.56,2720,2604,1019.2,16000,16000,199.69,24.178441,120.536603,8,186,189.56,1,10,2,3,perhour
2025,04,01,00,15,25,8990a1,MDA1857 ,B738,8300,8675,284.1,189.73,2432,2604,1019.2,16000,16000,201.09,24.171831,120.535359,8,186,189.73,1,10,2,3,perhour
