min_points,epsilon,clustering_num,noise_num
10.0,0.7,56.0,28.0
10.0,0.8,53.0,28.0
10.0,0.9,46.0,20.0
10.0,1.0,45.0,17.0
10.0,1.1,43.0,14.0
10.0,1.2,39.0,14.0
10.0,1.3,37.0,13.0
10.0,1.4,36.0,12.0
10.0,1.5,34.0,12.0
10.0,1.6,33.0,12.0
10.0,1.7,32.0,12.0
10.0,1.8,30.0,12.0
10.0,1.9,29.0,12.0
10.0,2.0,25.0,12.0
20.0,0.7,40.0,187.0
20.0,0.8,39.0,174.0
20.0,0.9,36.0,111.0
20.0,1.0,34.0,106.0
20.0,1.1,33.0,105.0
20.0,1.2,29.0,92.0
20.0,1.3,27.0,90.0
20.0,1.4,26.0,84.0
20.0,1.5,25.0,84.0
20.0,1.6,24.0,84.0
20.0,1.7,23.0,84.0
20.0,1.8,22.0,64.0
20.0,1.9,21.0,64.0
20.0,2.0,20.0,46.0
30.0,0.7,37.0,255.0
30.0,0.8,36.0,251.0
30.0,0.9,33.0,161.0
30.0,1.0,32.0,151.0
30.0,1.1,31.0,140.0
30.0,1.2,27.0,114.0
30.0,1.3,25.0,111.0
30.0,1.4,24.0,98.0
30.0,1.5,23.0,98.0
30.0,1.6,22.0,48.0
30.0,1.7,21.0,48.0
30.0,1.8,21.0,48.0
30.0,1.9,20.0,48.0
30.0,2.0,20.0,48.0
40.0,0.7,35.0,302.0
40.0,0.8,34.0,297.0
40.0,0.9,31.0,235.0
40.0,1.0,30.0,227.0
40.0,1.1,29.0,216.0
40.0,1.2,26.0,176.0
40.0,1.3,25.0,159.0
40.0,1.4,23.0,70.0
40.0,1.5,22.0,70.0
40.0,1.6,22.0,70.0
40.0,1.7,21.0,70.0
40.0,1.8,21.0,70.0
40.0,1.9,20.0,70.0
40.0,2.0,20.0,70.0
50.0,0.7,31.0,502.0
50.0,0.8,30.0,495.0
50.0,0.9,27.0,371.0
50.0,1.0,26.0,359.0
50.0,1.1,25.0,340.0
50.0,1.2,22.0,281.0
50.0,1.3,21.0,253.0
50.0,1.4,19.0,161.0
50.0,1.5,19.0,161.0
50.0,1.6,19.0,161.0
50.0,1.7,18.0,161.0
50.0,1.8,18.0,161.0
50.0,1.9,17.0,161.0
50.0,2.0,17.0,161.0
60.0,0.7,30.0,530.0
60.0,0.8,29.0,519.0
60.0,0.9,27.0,443.0
60.0,1.0,26.0,425.0
60.0,1.1,25.0,397.0
60.0,1.2,22.0,312.0
60.0,1.3,21.0,292.0
60.0,1.4,19.0,194.0
60.0,1.5,19.0,194.0
60.0,1.6,19.0,194.0
60.0,1.7,18.0,193.0
60.0,1.8,18.0,193.0
60.0,1.9,17.0,193.0
60.0,2.0,17.0,193.0
70.0,0.7,28.0,758.0
70.0,0.8,28.0,758.0
70.0,0.9,26.0,664.0
70.0,1.0,25.0,599.0
70.0,1.1,24.0,564.0
70.0,1.2,21.0,373.0
70.0,1.3,20.0,342.0
70.0,1.4,18.0,236.0
70.0,1.5,18.0,236.0
70.0,1.6,18.0,236.0
70.0,1.7,17.0,218.0
70.0,1.8,17.0,218.0
70.0,1.9,17.0,218.0
70.0,2.0,17.0,218.0
80.0,0.7,25.0,968.0
80.0,0.8,25.0,968.0
80.0,0.9,23.0,827.0
80.0,1.0,22.0,692.0
80.0,1.1,21.0,657.0
80.0,1.2,19.0,596.0
80.0,1.3,18.0,568.0
80.0,1.4,16.0,345.0
80.0,1.5,16.0,345.0
80.0,1.6,16.0,345.0
80.0,1.7,15.0,299.0
80.0,1.8,15.0,299.0
80.0,1.9,15.0,299.0
80.0,2.0,15.0,299.0
90.0,0.7,21.0,1206.0
90.0,0.8,21.0,1206.0
90.0,0.9,19.0,1039.0
90.0,1.0,18.0,877.0
90.0,1.1,17.0,706.0
90.0,1.2,16.0,682.0
90.0,1.3,15.0,647.0
90.0,1.4,13.0,200.0
90.0,1.5,13.0,200.0
90.0,1.6,13.0,200.0
90.0,1.7,13.0,200.0
90.0,1.8,13.0,200.0
90.0,1.9,13.0,200.0
90.0,2.0,13.0,200.0
100.0,0.7,21.0,1361.0
100.0,0.8,21.0,1361.0
100.0,0.9,20.0,1140.0
100.0,1.0,18.0,965.0
100.0,1.1,17.0,773.0
100.0,1.2,17.0,773.0
100.0,1.3,15.0,708.0
100.0,1.4,14.0,658.0
100.0,1.5,13.0,201.0
100.0,1.6,13.0,201.0
100.0,1.7,13.0,201.0
100.0,1.8,13.0,201.0
100.0,1.9,13.0,201.0
100.0,2.0,13.0,201.0
