year,month,day,hour,minute,second,hex,flight,t,alt_baro,alt_geom,gs,track,geom_rate,squawk,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,lat,lon,nic,rc,nic_baro,nac_p,nac_v,sil,sil_type,geohash,ecef_x,ecef_y,ecef_z,cluster
2025,4,1,0,2,45,899046,CAL601,B738,1725,1950,169.9,47.39,1184,6264,1019.2,3008,3008,51.33,25.109067,121.26227,8,186,1,10,2,3,perhour,wsqnz6uqztq4,-2994112.9568203683,4931763.774640314,2703739.699255408,38
2025,4,1,0,2,50,899046,CAL601,B738,1825,2075,177.0,47.75,1184,6264,1019.2,3008,3008,51.33,25.111767,121.265535,8,186,1,10,2,3,perhour,wsqnz7qyeu8t,-2994345.7634592457,4931513.723232558,2704027.7461128747,38
2025,4,1,0,2,55,899046,CAL601,B738,1925,2150,184.1,48.08,1120,6264,1019.2,18592,18000,51.33,25.11442,121.268748,8,186,1,10,2,3,perhour,wsqnzecnnehq,-2994568.0573173896,4931256.46817952,2704304.58935681,38
2025,4,1,0,3,0,899046,CAL601,B738,2050,2300,188.5,48.87,1120,6264,1019.2,20000,18000,51.33,25.117865,121.273049,8,186,1,10,2,3,perhour,wsqnzss64v7m,-2994875.2970717354,4930928.05980613,2704670.879634547,38
2025,4,1,0,3,5,899046,CAL601,B738,2100,2325,193.1,50.04,1472,6264,1019.2,20000,20000,51.33,25.11882,121.274261,8,186,1,10,2,3,perhour,wsqnzstpxp7j,-2994959.7803176898,4930832.072570452,2704770.2738511804,38
2025,4,1,0,3,10,899046,CAL601,B738,2325,2550,198.1,50.12,1824,6264,1019.2,20000,20000,25.31,25.123498,121.280408,8,186,1,10,2,3,perhour,wsqnzv9dyr6x,-2995406.3356661266,4930375.044732595,2705270.411384288,38
2025,4,1,0,3,15,899046,CAL601,B738,2500,2725,198.1,50.12,1824,6264,1019.2,20000,20000,284.06,25.126198,121.28388,8,186,1,10,2,3,perhour,wsqnzyh4xnz9,-2995663.975105877,4930125.838760117,2705564.9137409083,26
2025,4,1,0,3,20,899046,CAL601,B738,2700,2900,203.3,41.61,1824,6264,1019.2,20000,20000,284.06,25.130108,121.288182,8,186,1,10,2,3,perhour,wsqnzyz37rxm,-2995963.324792893,4929784.372644386,2705981.2426699623,26
2025,4,1,0,3,25,899046,CAL601,B738,2875,3125,207.3,31.39,2048,6264,1019.2,20000,20000,267.19,25.133698,121.290944,8,186,1,10,2,3,perhour,wsqqbp3q7ufu,-2996145.146149749,4929548.10253515,2706371.820399343,26
2025,4,1,0,15,5,8990a1,MDA1857,B738,7400,7700,278.3,190.14,2528,2604,1019.2,16000,16000,198.98,24.198645,120.540438,8,186,1,10,2,3,perhour,wsm9wvnz7f3h,-2954017.236728974,5006842.190519254,2612444.2418711497,29
