cluster,count
34,2565
69,429
26,298
-1,279
37,212
54,208
19,202
83,201
120,181
121,181
14,179
64,175
97,163
15,148
28,145
22,143
86,137
5,119
55,108
23,104
33,104
106,93
87,93
43,91
109,88
0,85
123,78
25,76
82,66
21,63
116,60
8,58
113,57
65,56
89,53
60,51
7,51
35,51
102,47
44,47
40,44
66,43
74,42
39,41
1,41
103,41
112,35
29,34
50,34
20,33
10,32
118,31
94,29
63,27
95,27
53,27
78,25
75,24
107,24
12,24
88,24
31,23
42,23
98,23
67,22
4,22
93,22
73,22
18,22
81,21
61,21
80,21
104,21
9,20
47,20
52,20
41,19
45,18
3,18
68,18
101,18
30,17
24,17
100,17
92,17
105,16
56,15
17,15
48,15
59,14
62,14
49,14
115,14
27,13
84,13
46,13
13,13
2,12
36,12
6,12
58,12
99,11
71,11
77,11
110,11
91,10
85,10
11,10
76,10
117,10
79,10
111,10
70,9
90,9
57,9
122,9
119,9
96,9
108,9
114,8
32,8
38,8
51,7
72,7
16,7
