cluster,count
44,204
70,204
7,195
2,190
1,187
86,185
32,177
67,171
39,159
57,155
25,154
23,152
115,129
34,127
13,125
84,124
101,118
81,114
116,108
49,105
62,103
31,102
19,101
108,101
60,100
53,100
77,100
24,100
88,100
111,99
66,96
71,96
80,93
35,91
97,91
46,91
58,90
106,90
74,89
78,89
59,87
17,87
45,85
28,85
107,81
0,80
68,78
18,77
93,77
52,77
4,76
40,76
14,75
79,71
96,68
65,67
27,67
37,65
64,65
33,64
41,63
72,63
3,62
82,62
124,61
120,60
92,60
38,60
54,59
5,59
15,58
30,57
99,57
26,57
21,55
22,55
29,53
121,51
95,51
94,51
43,51
16,51
20,51
100,51
6,50
105,50
51,50
118,49
98,49
89,49
85,49
103,48
47,48
75,47
56,47
69,46
91,46
48,45
55,45
83,41
42,41
102,41
117,37
110,35
50,32
114,29
112,28
73,28
123,24
61,23
36,22
119,20
90,20
8,19
113,18
9,13
76,12
11,12
10,12
63,12
104,10
87,10
109,10
12,7
122,3
