cluster,count
43,316
64,211
0,204
32,204
20,198
61,187
3,182
101,181
38,177
13,171
115,157
80,155
112,154
72,152
83,137
54,127
79,118
7,116
17,116
30,114
60,110
52,109
100,109
39,108
48,105
1,105
87,103
21,103
96,101
45,100
55,100
15,99
116,98
99,96
47,96
25,91
75,87
118,87
33,85
53,85
86,81
56,78
63,77
23,76
68,75
91,72
28,72
35,70
69,68
29,67
51,67
26,66
85,66
94,66
73,65
58,65
70,65
31,65
102,64
10,63
36,63
88,63
62,62
105,62
11,60
92,59
95,58
16,57
6,57
103,56
89,56
78,55
49,55
111,54
22,53
42,52
18,51
84,51
74,51
19,51
117,50
41,50
66,50
50,50
98,49
114,49
27,47
4,47
119,46
106,45
37,44
113,43
34,41
59,41
46,41
76,41
57,41
71,40
109,37
108,35
44,32
120,30
104,29
2,28
5,28
24,26
82,25
110,24
65,23
77,19
40,18
8,13
93,13
12,12
90,12
67,12
9,12
81,10
107,10
97,10
14,7
