cluster,count
2,439
24,195
12,193
48,191
81,185
98,180
26,173
51,172
5,168
109,166
27,162
61,158
14,155
96,153
73,141
58,137
0,137
22,133
90,133
65,126
32,125
8,119
116,115
3,114
124,113
117,106
86,98
56,98
43,92
10,92
84,91
46,90
91,90
29,89
41,88
33,85
76,85
88,85
15,83
94,81
4,80
123,78
74,77
34,77
9,76
92,75
103,73
53,69
1,69
44,69
55,67
39,66
23,66
6,65
119,65
21,63
63,60
101,59
78,58
118,58
49,58
19,58
105,56
99,55
75,55
122,53
35,53
11,53
17,53
37,52
45,51
71,51
106,49
82,49
69,49
47,48
13,48
60,48
18,47
102,46
42,46
89,46
28,44
25,42
79,42
93,41
108,41
7,41
16,40
80,39
114,39
115,38
100,37
50,37
66,37
72,36
64,35
97,34
110,33
31,32
40,32
62,32
113,31
30,30
57,29
70,29
112,28
104,28
68,27
83,26
36,24
87,24
67,24
38,23
20,22
52,20
59,18
77,18
120,13
111,12
54,12
95,10
107,7
121,6
85,5
