k,SSE,Silhouette
7,17065.527998507045,0.4170909399414463
8,15490.89699515933,0.3788112529845345
9,13933.324406360358,0.3607075011726524
10,12786.214277248422,0.3641156276103318
11,11995.21270545287,0.3804175041591389
12,10671.981590619875,0.39978868630618186
13,10218.237905506947,0.38041005587381793
14,9396.09968994659,0.410621732753216
15,8838.709675341786,0.4126973517208802
16,8433.663592381594,0.4193022429144159
17,7892.587449045985,0.42068888496539336
18,7607.511689709922,0.4218261881439132
19,7096.840560913315,0.3919024293683182
20,6793.381220143549,0.398074650439368
