min_points,epsilon,clustering_num,noise_num
10.0,0.7,154.0,3355.0
10.0,0.8,154.0,3348.0
10.0,0.9,155.0,3315.0
10.0,1.0,156.0,3304.0
10.0,1.1,156.0,3226.0
10.0,1.2,157.0,3274.0
10.0,1.3,157.0,3282.0
10.0,1.4,157.0,3280.0
10.0,1.5,156.0,3281.0
10.0,1.6,156.0,3281.0
10.0,1.7,156.0,3278.0
10.0,1.8,156.0,3278.0
10.0,1.9,156.0,3278.0
10.0,2.0,156.0,3276.0
20.0,0.7,76.0,2867.0
20.0,0.8,76.0,2857.0
20.0,0.9,76.0,2865.0
20.0,1.0,77.0,2862.0
20.0,1.1,77.0,2865.0
20.0,1.2,77.0,2929.0
20.0,1.3,77.0,2952.0
20.0,1.4,77.0,2938.0
20.0,1.5,77.0,2938.0
20.0,1.6,77.0,2938.0
20.0,1.7,77.0,2938.0
20.0,1.8,77.0,2938.0
20.0,1.9,77.0,2938.0
20.0,2.0,77.0,2901.0
30.0,0.7,52.0,2755.0
30.0,0.8,53.0,2708.0
30.0,0.9,53.0,2723.0
30.0,1.0,54.0,2695.0
30.0,1.1,54.0,2693.0
30.0,1.2,54.0,2652.0
30.0,1.3,54.0,2631.0
30.0,1.4,54.0,2622.0
30.0,1.5,54.0,2620.0
30.0,1.6,54.0,2620.0
30.0,1.7,54.0,2620.0
30.0,1.8,54.0,2620.0
30.0,1.9,54.0,2620.0
30.0,2.0,55.0,2580.0
40.0,0.7,41.0,2319.0
40.0,0.8,41.0,2330.0
40.0,0.9,41.0,2280.0
40.0,1.0,42.0,2216.0
40.0,1.1,42.0,2209.0
40.0,1.2,41.0,2392.0
40.0,1.3,41.0,2385.0
40.0,1.4,41.0,2128.0
40.0,1.5,41.0,2127.0
40.0,1.6,41.0,2126.0
40.0,1.7,41.0,2126.0
40.0,1.8,41.0,2126.0
40.0,1.9,41.0,2126.0
40.0,2.0,42.0,2053.0
50.0,0.7,33.0,2283.0
50.0,0.8,33.0,2139.0
50.0,0.9,33.0,1966.0
50.0,1.0,35.0,1829.0
50.0,1.1,35.0,1790.0
50.0,1.2,35.0,1982.0
50.0,1.3,35.0,1955.0
50.0,1.4,35.0,1950.0
50.0,1.5,35.0,1901.0
50.0,1.6,35.0,1898.0
50.0,1.7,35.0,1897.0
50.0,1.8,35.0,1897.0
50.0,1.9,35.0,1897.0
50.0,2.0,35.0,1868.0
60.0,0.7,20.0,3397.0
60.0,0.8,26.0,2504.0
60.0,0.9,26.0,2414.0
60.0,1.0,27.0,2258.0
60.0,1.1,27.0,2158.0
60.0,1.2,28.0,2385.0
60.0,1.3,28.0,2334.0
60.0,1.4,28.0,2308.0
60.0,1.5,29.0,2188.0
60.0,1.6,29.0,2163.0
60.0,1.7,29.0,2160.0
60.0,1.8,29.0,2159.0
60.0,1.9,29.0,2159.0
60.0,2.0,29.0,2130.0
70.0,0.7,17.0,3957.0
70.0,0.8,19.0,3191.0
70.0,0.9,21.0,2689.0
70.0,1.0,21.0,2737.0
70.0,1.1,23.0,2531.0
70.0,1.2,22.0,2474.0
70.0,1.3,24.0,2147.0
70.0,1.4,25.0,2040.0
70.0,1.5,26.0,1915.0
70.0,1.6,26.0,1875.0
70.0,1.7,25.0,2082.0
70.0,1.8,25.0,2066.0
70.0,1.9,24.0,2163.0
70.0,2.0,24.0,2163.0
80.0,0.7,14.0,3654.0
80.0,0.8,18.0,2905.0
80.0,0.9,18.0,3074.0
80.0,1.0,18.0,3113.0
80.0,1.1,18.0,2927.0
80.0,1.2,18.0,2791.0
80.0,1.3,19.0,2573.0
80.0,1.4,20.0,2447.0
80.0,1.5,22.0,2250.0
80.0,1.6,24.0,2053.0
80.0,1.7,23.0,2242.0
80.0,1.8,23.0,2224.0
80.0,1.9,22.0,2293.0
80.0,2.0,22.0,2284.0
90.0,0.7,13.0,3864.0
90.0,0.8,14.0,3352.0
90.0,0.9,15.0,3229.0
90.0,1.0,14.0,3261.0
90.0,1.1,15.0,3037.0
90.0,1.2,17.0,2460.0
90.0,1.3,17.0,2413.0
90.0,1.4,17.0,2349.0
90.0,1.5,18.0,2239.0
90.0,1.6,18.0,2210.0
90.0,1.7,17.0,2401.0
90.0,1.8,17.0,2387.0
90.0,1.9,19.0,2195.0
90.0,2.0,19.0,2190.0
100.0,0.7,13.0,4461.0
100.0,0.8,14.0,3932.0
100.0,0.9,14.0,3717.0
100.0,1.0,13.0,3876.0
100.0,1.1,13.0,3754.0
100.0,1.2,15.0,3295.0
100.0,1.3,15.0,3300.0
100.0,1.4,16.0,3121.0
100.0,1.5,16.0,3099.0
100.0,1.6,16.0,3077.0
100.0,1.7,16.0,3158.0
100.0,1.8,16.0,3148.0
100.0,1.9,17.0,2946.0
100.0,2.0,17.0,2939.0
