min_points,epsilon,clustering_num,noise_num
10.0,0.7,135.0,4156.0
10.0,0.8,135.0,4150.0
10.0,0.9,136.0,4113.0
10.0,1.0,136.0,4113.0
10.0,1.1,136.0,4113.0
10.0,1.2,137.0,4102.0
10.0,1.3,137.0,4105.0
10.0,1.4,137.0,4104.0
10.0,1.5,137.0,4102.0
10.0,1.6,137.0,4102.0
10.0,1.7,137.0,4102.0
10.0,1.8,137.0,4102.0
10.0,1.9,137.0,4102.0
10.0,2.0,137.0,4102.0
20.0,0.7,65.0,2423.0
20.0,0.8,65.0,2412.0
20.0,0.9,64.0,2523.0
20.0,1.0,64.0,2547.0
20.0,1.1,64.0,2545.0
20.0,1.2,64.0,2529.0
20.0,1.3,64.0,2531.0
20.0,1.4,64.0,2517.0
20.0,1.5,64.0,2511.0
20.0,1.6,64.0,2507.0
20.0,1.7,64.0,2507.0
20.0,1.8,64.0,2507.0
20.0,1.9,64.0,2507.0
20.0,2.0,64.0,2489.0
30.0,0.7,40.0,2967.0
30.0,0.8,41.0,2934.0
30.0,0.9,43.0,2826.0
30.0,1.0,44.0,2797.0
30.0,1.1,44.0,2796.0
30.0,1.2,44.0,2770.0
30.0,1.3,45.0,2746.0
30.0,1.4,45.0,2737.0
30.0,1.5,45.0,2735.0
30.0,1.6,45.0,2735.0
30.0,1.7,45.0,2725.0
30.0,1.8,45.0,2725.0
30.0,1.9,45.0,2725.0
30.0,2.0,46.0,2685.0
40.0,0.7,30.0,2925.0
40.0,0.8,30.0,2976.0
40.0,0.9,30.0,2965.0
40.0,1.0,32.0,2713.0
40.0,1.1,32.0,2714.0
40.0,1.2,32.0,2708.0
40.0,1.3,32.0,2712.0
40.0,1.4,32.0,2459.0
40.0,1.5,32.0,2459.0
40.0,1.6,32.0,2458.0
40.0,1.7,32.0,2412.0
40.0,1.8,32.0,2449.0
40.0,1.9,32.0,2449.0
40.0,2.0,33.0,2409.0
50.0,0.7,24.0,2135.0
50.0,0.8,24.0,2095.0
50.0,0.9,23.0,2014.0
50.0,1.0,24.0,2373.0
50.0,1.1,22.0,2640.0
50.0,1.2,22.0,2638.0
50.0,1.3,22.0,2636.0
50.0,1.4,22.0,2633.0
50.0,1.5,22.0,2632.0
50.0,1.6,22.0,2632.0
50.0,1.7,22.0,2591.0
50.0,1.8,22.0,2591.0
50.0,1.9,22.0,2591.0
50.0,2.0,22.0,2591.0
60.0,0.7,16.0,3004.0
60.0,0.8,17.0,2919.0
60.0,0.9,18.0,2756.0
60.0,1.0,18.0,2692.0
60.0,1.1,17.0,2822.0
60.0,1.2,18.0,2684.0
60.0,1.3,18.0,2680.0
60.0,1.4,18.0,2678.0
60.0,1.5,18.0,2676.0
60.0,1.6,18.0,2676.0
60.0,1.7,18.0,2635.0
60.0,1.8,18.0,2635.0
60.0,1.9,18.0,2635.0
60.0,2.0,18.0,2635.0
70.0,0.7,15.0,2362.0
70.0,0.8,14.0,2151.0
70.0,0.9,14.0,2141.0
70.0,1.0,15.0,2051.0
70.0,1.1,15.0,2013.0
70.0,1.2,15.0,2537.0
70.0,1.3,15.0,2541.0
70.0,1.4,15.0,2532.0
70.0,1.5,15.0,2530.0
70.0,1.6,15.0,2530.0
70.0,1.7,15.0,2489.0
70.0,1.8,15.0,2489.0
70.0,1.9,15.0,2489.0
70.0,2.0,15.0,2489.0
80.0,0.7,11.0,3067.0
80.0,0.8,14.0,2653.0
80.0,0.9,13.0,2612.0
80.0,1.0,12.0,2793.0
80.0,1.1,12.0,2784.0
80.0,1.2,14.0,2999.0
80.0,1.3,14.0,2998.0
80.0,1.4,14.0,2979.0
80.0,1.5,14.0,2976.0
80.0,1.6,14.0,2976.0
80.0,1.7,14.0,2935.0
80.0,1.8,14.0,2935.0
80.0,1.9,14.0,2935.0
80.0,2.0,14.0,2935.0
90.0,0.7,10.0,3149.0
90.0,0.8,11.0,2954.0
90.0,0.9,12.0,2725.0
90.0,1.0,11.0,2792.0
90.0,1.1,11.0,2782.0
90.0,1.2,13.0,2456.0
90.0,1.3,13.0,2449.0
90.0,1.4,13.0,2417.0
90.0,1.5,13.0,2414.0
90.0,1.6,13.0,2414.0
90.0,1.7,14.0,2290.0
90.0,1.8,14.0,2288.0
90.0,1.9,14.0,2288.0
90.0,2.0,14.0,2288.0
100.0,0.7,10.0,3290.0
100.0,0.8,11.0,3047.0
100.0,0.9,11.0,2919.0
100.0,1.0,10.0,3456.0
100.0,1.1,9.0,3556.0
100.0,1.2,10.0,3364.0
100.0,1.3,10.0,3366.0
100.0,1.4,11.0,3225.0
100.0,1.5,11.0,3215.0
100.0,1.6,11.0,3215.0
100.0,1.7,12.0,3096.0
100.0,1.8,12.0,3089.0
100.0,1.9,12.0,3089.0
100.0,2.0,12.0,3089.0
