cluster,count
-1,5594
100,350
20,245
10,200
129,184
65,119
39,87
37,83
92,81
133,75
48,71
47,59
72,53
25,47
74,42
125,35
40,35
120,32
77,31
33,30
95,28
7,26
111,26
87,25
50,24
51,24
63,23
54,22
44,22
98,22
62,22
35,21
93,21
70,21
82,21
49,20
56,20
142,19
90,19
122,19
8,19
123,19
106,19
78,18
76,17
108,17
21,17
105,16
150,16
134,16
12,16
73,16
9,15
22,15
91,15
5,15
41,15
86,15
66,15
71,15
119,15
132,15
110,15
116,15
99,15
130,14
11,14
30,14
13,14
3,13
2,13
32,13
85,13
144,13
53,13
45,13
115,13
60,12
4,12
14,12
127,12
139,12
94,12
114,12
80,12
31,12
83,12
6,11
89,11
68,11
28,11
102,11
149,11
146,11
121,11
113,11
18,10
57,10
24,10
34,10
43,10
126,10
17,10
128,10
140,10
137,10
84,10
26,10
38,10
64,10
15,10
46,10
97,9
23,9
0,9
117,9
55,9
79,9
27,9
147,8
136,8
138,8
109,8
112,8
104,8
141,8
135,8
131,8
81,8
58,8
61,8
59,8
107,8
101,8
96,8
1,7
29,7
88,7
16,7
69,7
75,7
42,7
36,7
67,7
52,7
103,7
118,7
124,7
19,7
143,7
145,7
148,7
