cluster,count
37,1283
8,557
27,531
51,483
45,335
31,329
10,313
30,298
59,232
25,212
54,208
72,208
60,201
61,194
11,175
-1,175
28,160
53,159
17,157
18,152
1,148
9,129
69,104
29,104
82,103
24,102
84,102
85,100
14,100
26,96
70,91
76,85
64,71
2,69
52,64
46,58
58,55
0,54
67,53
62,52
21,51
22,51
44,51
43,49
74,46
32,43
12,41
33,38
57,36
35,34
71,30
75,30
83,28
66,27
15,27
13,27
34,27
40,24
55,22
5,21
77,19
38,19
78,18
19,18
49,17
3,16
20,16
80,15
39,14
56,14
41,13
36,13
79,12
50,12
81,12
73,12
63,12
6,11
16,10
48,10
7,10
42,9
4,9
47,9
23,8
65,8
68,7
