@relation 'readsb-hist_filtered_by_Taiwan_manual_edges-weka.filters.unsupervised.attribute.Remove-R1-11,14,16-18,20-29_clustered'

@attribute Instance_number numeric
@attribute gs numeric
@attribute track numeric
@attribute squawk numeric
@attribute nav_heading numeric
@attribute ecef_x numeric
@attribute ecef_y numeric
@attribute ecef_z numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0,169.9,47.39,6264,51.33,-2994112.95682,4931763.77464,2703739.699255,cluster19
1,177,47.75,6264,51.33,-2994345.763459,4931513.723233,2704027.746113,cluster19
2,184.1,48.08,6264,51.33,-2994568.057317,4931256.46818,2704304.589357,cluster19
3,188.5,48.87,6264,51.33,-2994875.297072,4930928.059806,2704670.879635,cluster19
4,193.1,50.04,6264,51.33,-2994959.780318,4930832.07257,2704770.273851,cluster19
5,198.1,50.12,6264,25.31,-2995406.335666,4930375.044733,2705270.411384,cluster15
6,198.1,50.12,6264,284.06,-2995663.975106,4930125.83876,2705564.913741,cluster7
7,203.3,41.61,6264,284.06,-2995963.324793,4929784.372644,2705981.24267,cluster7
8,207.3,31.39,6264,267.19,-2996145.14615,4929548.102535,2706371.820399,cluster7
9,278.3,190.14,2604,198.98,-2954017.236729,5006842.190519,2612444.241871,cluster3
10,280.3,190.07,2604,198.98,-2954096.277522,5007265.10141,2611730.109287,cluster3
11,282.1,189.8,2604,201.09,-2954156.716503,5007560.459287,2611244.180236,cluster3
12,282.9,189.56,2604,199.69,-2954255.941179,5008012.660147,2610487.779869,cluster3
13,284.1,189.73,2604,201.09,-2954331.987287,5008390.053863,2609845.052989,cluster3
14,284.3,189.93,2604,201.09,-2954400.096348,5008743.634507,2609219.584675,cluster3
15,283.3,189.96,2604,201.09,-2954481.313344,5009126.658961,2608597.006787,cluster3
16,282.1,189.8,2604,201.09,-2954564.478791,5009509.022162,2607991.910122,cluster3
17,281.9,189.6,2604,201.09,-2954645.734379,5009874.589468,2607402.425957,cluster3
