cluster,count
89,333
11,202
72,193
35,192
33,187
49,184
57,177
53,173
22,167
45,167
48,166
77,160
6,156
61,156
0,155
28,155
88,150
80,148
62,146
50,146
81,145
68,145
75,144
73,144
41,133
42,131
85,129
46,126
63,125
27,123
43,120
64,119
37,118
14,114
54,112
44,112
25,110
21,107
66,107
30,104
58,100
31,99
9,98
87,97
7,97
69,93
86,91
65,91
70,91
29,90
16,90
59,88
20,87
47,85
8,83
19,83
12,80
56,77
79,77
10,73
13,72
83,72
3,71
82,71
52,68
26,65
39,59
78,58
1,56
17,54
4,54
40,52
2,52
34,51
15,45
38,42
24,41
74,40
71,39
76,39
36,39
51,37
18,36
67,36
84,36
60,32
55,28
32,20
5,20
23,12
